Grid_ID,经纬度,City,POP_PE,POP_FL,EMP
935971,"113.768537,22.777541",东莞,1886,868,949
937585,"113.763648,22.782041",东莞,4475,1613,3167
939200,"113.763648,22.786541",东莞,1027,307,362
937586,"113.768537,22.782041",东莞,8468,3963,4317
939201,"113.768537,22.786541",东莞,6999,3003,2759
940814,"113.75876,22.79104",东莞,5657,1608,1792
942429,"113.75876,22.79554",东莞,7921,2951,3755
944044,"113.75876,22.80004",东莞,49,393,37
945659,"113.75876,22.804539",东莞,293,123,488
940815,"113.763648,22.79104",东莞,3108,897,964
942430,"113.763648,22.79554",东莞,4697,1448,1903
940816,"113.768537,22.79104",东莞,14611,5170,5833
942431,"113.768537,22.79554",东莞,5020,1733,1870
944045,"113.763648,22.80004",东莞,6446,2644,3465
945660,"113.763648,22.804539",东莞,0,0,0
944046,"113.768537,22.80004",东莞,5422,2123,2991
945661,"113.768537,22.804539",东莞,2267,670,1290
963386,"113.573007,22.854035",东莞,0,0,0
966615,"113.568119,22.863035",东莞,0,0,0
965001,"113.573007,22.858535",东莞,0,0,0
966616,"113.573007,22.863035",东莞,0,0,0
968230,"113.568119,22.867534",东莞,0,0,0
969845,"113.568119,22.872034",东莞,0,0,0
968231,"113.573007,22.867534",东莞,0,0,0
969846,"113.573007,22.872034",东莞,0,0,0
971460,"113.568119,22.876533",东莞,0,0,0
971461,"113.573007,22.876533",东莞,0,0,0
973075,"113.568119,22.881033",东莞,0,0,0
974690,"113.568119,22.885533",东莞,0,0,0
973076,"113.573007,22.881033",东莞,0,0,0
974691,"113.573007,22.885533",东莞,0,0,0
976305,"113.568119,22.890032",东莞,0,0,0
977920,"113.568119,22.894532",东莞,0,0,0
976306,"113.573007,22.890032",东莞,0,0,0
977921,"113.573007,22.894532",东莞,0,0,0
979535,"113.568119,22.899032",东莞,0,0,0
981150,"113.568119,22.903531",东莞,0,0,0
979536,"113.573007,22.899032",东莞,0,0,0
981151,"113.573007,22.903531",东莞,0,0,0
990837,"113.553454,22.930529",东莞,0,0,0
992452,"113.553454,22.935029",东莞,0,0,0
982764,"113.563231,22.908031",东莞,0,0,0
984379,"113.563231,22.912531",东莞,0,0,0
985994,"113.563231,22.91703",东莞,0,0,0
982765,"113.568119,22.908031",东莞,0,0,0
984380,"113.568119,22.912531",东莞,0,0,0
982766,"113.573007,22.908031",东莞,0,0,0
984381,"113.573007,22.912531",东莞,0,0,0
985995,"113.568119,22.91703",东莞,0,0,0
985996,"113.573007,22.91703",东莞,0,0,0
987608,"113.558342,22.92153",东莞,0,0,0
989223,"113.558342,22.92603",东莞,0,0,0
987609,"113.563231,22.92153",东莞,0,0,0
989224,"113.563231,22.92603",东莞,0,0,0
990838,"113.558342,22.930529",东莞,0,0,0
992453,"113.558342,22.935029",东莞,0,0,0
990839,"113.563231,22.930529",东莞,0,0,0
992454,"113.563231,22.935029",东莞,101,16,11
987610,"113.568119,22.92153",东莞,0,0,0
989225,"113.568119,22.92603",东莞,0,0,0
987611,"113.573007,22.92153",东莞,0,0,0
